team_id,team_name,start_day_position,current_position,wins,draws,losses,goals_for,goals_against,goal_difference,table_points,matches_played,recent_form,week_number
t112,Wycombe Wanderers,1,1,12,4,2,39,21,18,40,18,"D,D,W,W,W",49
t109,Wrexham,2,2,12,4,3,28,11,17,40,19,"W,W,W,W,L",49
t41,Birmingham City,3,3,12,3,2,32,16,16,39,17,"W,W,W,L,D",49
t38,Huddersfield Town,4,4,11,2,5,28,16,12,35,18,"W,W,W,W,D",49
t48,Stockport County,5,5,9,6,4,31,19,12,33,19,"W,L,W,W,W",49
t108,Reading,6,6,9,4,5,30,25,5,31,18,"D,W,D,W,D",49
t30,Bolton Wanderers,7,7,9,3,5,28,27,1,30,17,"W,D,W,L,W",49
t37,Barnsley,8,8,7,6,6,27,25,2,27,19,"L,L,D,L,D",49
t83,Lincoln City,9,9,7,6,6,24,23,1,27,19,"D,L,L,L,D",49
t77,Mansfield Town,10,10,7,3,7,22,22,0,24,17,"L,L,L,L,L",49
t71,Exeter City,11,11,7,3,8,16,19,-3,24,18,"L,D,L,L,D",49
t33,Charlton Athletic,13,12,6,5,7,18,19,-1,23,18,"D,L,W,L,L",49
t92,Blackpool,12,13,6,5,7,26,31,-5,23,18,"W,W,L,D,L",49
t288,Stevenage,14,14,6,4,7,13,16,-3,22,17,"W,D,D,L,L",49
t73,Peterborough United,15,15,6,3,8,32,30,2,21,17,"L,L,W,L,W",49
t85,Leyton Orient,20,16,6,3,9,19,20,-1,21,18,"W,W,L,D,W",49
t96,Bristol Rovers,16,17,6,3,9,17,26,-9,21,18,"L,L,W,D,D",49
t111,Wigan Athletic,17,18,5,5,8,15,16,-1,20,18,"L,L,W,W,L",49
t72,Rotherham United,18,19,5,5,7,16,20,-4,20,17,"W,L,L,W,L",49
t1525,Crawley Town,19,20,5,4,9,17,28,-11,19,18,"W,W,D,D,D",49
t75,Northampton Town,21,21,4,6,8,19,25,-6,18,18,"L,L,D,D,D",49
t101,Cambridge United,22,22,4,4,10,18,29,-11,16,18,"W,L,D,D,D",49
t587,Burton Albion,23,23,2,5,11,16,30,-14,11,18,"L,W,L,L,W",49
t74,Shrewsbury Town,24,24,3,2,13,18,35,-17,11,18,"L,L,W,L,L",49
