rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Brighton,1,1,0,0,3,0,3,3,3.0,1.4,0.5,1.0,0.98,W,,"Danny Welbeck, Kaoru Mitoma... - 1",Jason Steele,,2024-2025,2024-08-18,33
2,Arsenal,1,1,0,0,2,0,2,3,3.0,1.2,0.5,0.8,0.77,W,60261.0,"Kai Havertz, Bukayo Saka - 1",David Raya,,2024-2025,2024-08-18,33
3,Liverpool,1,1,0,0,2,0,2,3,3.0,2.6,0.5,2.1,2.11,W,,"Mohamed Salah, Diogo Jota - 1",Alisson,,2024-2025,2024-08-18,33
4,Aston Villa,1,1,0,0,2,1,1,3,3.0,2.0,2.3,-0.3,-0.32,W,,"Amadou Onana, Jhon Durán - 1",Emiliano Martínez,,2024-2025,2024-08-18,33
5,Manchester United,1,1,0,0,1,0,1,3,3.0,2.4,0.4,2.0,2.0,W,73297.0,Joshua Zirkzee - 1,André Onana,,2024-2025,2024-08-18,33
6,Newcastle United,1,1,0,0,1,0,1,3,3.0,0.3,1.8,-1.5,-1.5,W,52196.0,Joelinton - 1,Nick Pope,,2024-2025,2024-08-18,33
7,Bournemouth,1,0,1,0,1,1,0,1,1.0,1.2,1.3,-0.1,-0.09,D,,Antoine Semenyo - 1,Neto,,2024-2025,2024-08-18,33
8,Nottingham Forest,1,0,1,0,1,1,0,1,1.0,1.3,1.2,0.1,0.09,D,29763.0,Chris Wood - 1,Matz Sels,,2024-2025,2024-08-18,33
9,Brentford,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,2024-08-18,33
10,Chelsea,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,2024-08-18,33
11,Crystal Palace,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,2024-08-18,33
12,Leicester City,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,2024-08-18,33
13,Manchester City,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,2024-08-18,33
14,Tottenham,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-2025,2024-08-18,33
15,West Ham,1,0,0,1,1,2,-1,0,0.0,2.3,2.0,0.3,0.32,L,62463.0,Lucas Paquetá - 1,Alphonse Areola,,2024-2025,2024-08-18,33
16,Fulham,1,0,0,1,0,1,-1,0,0.0,0.4,2.4,-2.0,-2.0,L,,,Bernd Leno,,2024-2025,2024-08-18,33
17,Southampton,1,0,0,1,0,1,-1,0,0.0,1.8,0.3,1.5,1.5,L,,,Alex McCarthy,,2024-2025,2024-08-18,33
18,Ipswich Town,1,0,0,1,0,2,-2,0,0.0,0.5,2.6,-2.1,-2.11,L,30014.0,,Christian Walton,,2024-2025,2024-08-18,33
19,Wolves,1,0,0,1,0,2,-2,0,0.0,0.5,1.2,-0.8,-0.77,L,,,José Sá,,2024-2025,2024-08-18,33
20,Everton,1,0,0,1,0,3,-3,0,0.0,0.5,1.4,-1.0,-0.98,L,,,Jordan Pickford,,2024-2025,2024-08-18,33
