rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Liverpool,37,25,8,4,85,40,45,83,2.24,80.0,36.8,43.2,1.17,W W L D L,60321,Mohamed Salah - 28,Alisson,,2024-2025,2025-05-20,21
2,Arsenal,37,19,14,4,67,33,34,71,1.92,57.6,33.8,23.8,0.64,W D L D W,60251,Kai Havertz - 9,David Raya,,2024-2025,2025-05-20,21
3,Newcastle United,37,20,6,11,68,46,22,66,1.78,62.6,44.4,18.2,0.49,L W D W L,52185,Alexander Isak - 23,Nick Pope,,2024-2025,2025-05-20,21
4,Chelsea,37,19,9,9,63,43,20,66,1.78,66.7,46.1,20.6,0.56,W W W L W,39672,Cole Palmer - 15,Robert Sánchez,,2024-2025,2025-05-20,21
5,Aston Villa,37,19,9,9,58,49,9,66,1.78,55.7,47.2,8.5,0.23,W L W W W,42079,Ollie Watkins - 16,Emiliano Martínez,,2024-2025,2025-05-20,21
6,Manchester City,36,19,8,9,67,43,24,65,1.81,63.6,45.3,18.3,0.51,W W W W D,52771,Erling Haaland - 21,Ederson,,2024-2025,2025-05-20,21
7,Nottingham Forest,37,19,8,10,58,45,13,65,1.76,44.3,47.8,-3.5,-0.1,W L D D W,30047,Chris Wood - 20,Matz Sels,,2024-2025,2025-05-20,21
8,Brighton,37,15,13,9,62,58,4,58,1.57,56.5,52.5,4.0,0.11,L W D W W,31808,"Kaoru Mitoma, Danny Welbeck... - 10",Bart Verbruggen,,2024-2025,2025-05-20,21
9,Brentford,37,16,7,14,65,56,9,55,1.49,57.6,54.4,3.2,0.09,W W W W L,18742,"Yoane Wissa, Bryan Mbeumo - 19",Mark Flekken,,2024-2025,2025-05-20,21
10,Fulham,37,15,9,13,54,52,2,54,1.46,47.8,44.2,3.5,0.1,L W L L W,26779,Raúl Jiménez - 12,Bernd Leno,,2024-2025,2025-05-20,21
11,Bournemouth,36,14,11,11,55,43,12,53,1.47,61.3,46.7,14.6,0.41,W D D W L,11209,Justin Kluivert - 12,Kepa Arrizabalaga,,2024-2025,2025-05-20,21
12,Crystal Palace,36,12,13,11,46,48,-2,49,1.36,57.0,45.6,11.4,0.32,L D D D W,25081,Jean-Philippe Mateta - 14,Dean Henderson,,2024-2025,2025-05-20,21
13,Everton,37,10,15,12,41,44,-3,45,1.22,40.6,45.1,-4.4,-0.12,L L D W W,38439,Iliman Ndiaye - 9,Jordan Pickford,,2024-2025,2025-05-20,21
14,Wolves,36,12,5,19,51,64,-13,41,1.14,41.3,55.0,-13.8,-0.38,W W W L L,30657,Matheus Cunha - 15,José Sá,,2024-2025,2025-05-20,21
15,West Ham,37,10,10,17,43,61,-18,40,1.08,45.9,59.0,-13.1,-0.35,D L D W L,62463,Jarrod Bowen - 12,Alphonse Areola,,2024-2025,2025-05-20,21
16,Manchester United,37,10,9,18,42,54,-12,39,1.05,49.7,53.5,-3.8,-0.1,L D L L L,73742,Bruno Fernandes - 8,André Onana,,2024-2025,2025-05-20,21
17,Tottenham,37,11,5,21,63,61,2,38,1.03,56.8,61.1,-4.4,-0.12,L L D L L,61109,Brennan Johnson - 11,Guglielmo Vicario,,2024-2025,2025-05-20,21
18,Leicester City,37,6,7,24,33,78,-45,25,0.68,32.4,70.3,-37.9,-1.02,L L W D W,31418,Jamie Vardy - 9,Mads Hermansen,,2024-2025,2025-05-20,21
19,Ipswich Town,37,4,10,23,35,79,-44,22,0.59,33.6,71.6,-38.0,-1.03,L L D L L,29740,Liam Delap - 12,Arijanet Muric,,2024-2025,2025-05-20,21
20,Southampton,37,2,6,29,25,84,-59,12,0.32,32.0,82.5,-50.5,-1.36,D L L D L,30859,Paul Onuachu - 4,Aaron Ramsdale,,2024-2025,2025-05-20,21
