rk,squad,mp,w,d,l,gf,ga,gd,pts,season,fetched_date,week_no
1,Arsenal,28,18,7,3,56,21,35,61,2025-2026,2026-02-24,9
2,Manchester City,27,17,5,5,56,25,31,56,2025-2026,2026-02-24,9
3,Aston Villa,27,15,6,6,38,28,10,51,2025-2026,2026-02-24,9
4,Manchester United,27,13,9,5,48,37,11,48,2025-2026,2026-02-24,9
5,Chelsea,27,12,9,6,48,31,17,45,2025-2026,2026-02-24,9
6,Liverpool,27,13,6,8,42,35,7,45,2025-2026,2026-02-24,9
7,Brentford,27,12,4,11,40,37,3,40,2025-2026,2026-02-24,9
8,Bournemouth,27,9,11,7,43,45,-2,38,2025-2026,2026-02-24,9
9,Everton,27,10,7,10,29,31,-2,37,2025-2026,2026-02-24,9
10,Fulham,27,11,4,12,38,41,-3,37,2025-2026,2026-02-24,9
11,Newcastle United,27,10,6,11,38,39,-1,36,2025-2026,2026-02-24,9
12,Sunderland,27,9,9,9,28,33,-5,36,2025-2026,2026-02-24,9
13,Crystal Palace,27,9,8,10,29,32,-3,35,2025-2026,2026-02-24,9
14,Brighton & Hove Albion,27,8,10,9,36,34,2,34,2025-2026,2026-02-24,9
15,Leeds United,27,7,10,10,37,46,-9,31,2025-2026,2026-02-24,9
16,Tottenham Hotspur,27,7,8,12,37,41,-4,29,2025-2026,2026-02-24,9
17,Nottingham Forest,27,7,6,14,25,39,-14,27,2025-2026,2026-02-24,9
18,West Ham United,27,6,7,14,32,49,-17,25,2025-2026,2026-02-24,9
19,Burnley,27,4,7,16,29,52,-23,19,2025-2026,2026-02-24,9
20,Wolverhampton Wanderers,28,1,7,20,18,51,-33,10,2025-2026,2026-02-24,9
